palavra,categoria gramatical,fonética
fas·ti·o,nome masculino,fɐʃ.tˈi.u
fas·to,adjetivo,fˈaʃ.tu
fas·to,nome masculino,fˈaʃ.tu
fa·ta·ça,nome feminino,fɐ.tˈa.sɐ
fa·tal,adjetivo,fɐ.tˈaɫ
fa·ta·li·da·de,nome feminino,fɐ.tɐ.li.dˈa.dɨ
fa·ta·lis·mo,nome masculino,fɐ.tɐ.lˈiʒ.mu
fa·ta·lis·ta,adjetivo,fɐ.tɐ.lˈiʃ.tɐ
fa·ta·lis·ta,nome masculino,fɐ.tɐ.lˈiʃ.tɐ
fa·ta·lis·ta,nome feminino,fɐ.tɐ.lˈiʃ.tɐ
fa·tal·men·te,advérbio,fɐ.taɫ.mˈẽ.tɨ
fa·tei·xa,nome feminino,fɐ.tˈɐj.ʃɐ
fa·tei·xar,verbo,fɐ.tɐj.ʃˈaɾ
fa·te·la,adjetivo,fɐ.tˈɛ.lɐ
fa·ti·a,nome feminino,fɐ.tˈi.ɐ
fa·bro,nome masculino,fˈa.bɾu
fá·bu·la,nome feminino,fˈa.bu.lɐ
fa·bu·la·ção,nome feminino,fɐ.bu.lɐ.sˈɐ̃w
fa·bu·la·dor,adjetivo,fɐ.bu.lɐ.dˈoɾ
fa·bu·la·dor,nome masculino,fɐ.bu.lɐ.dˈoɾ
fa·bu·lar,verbo,fɐ.bu.lˈaɾ
fa·bu·lá·ri·o,nome masculino,fɐ.bu.lˈa.ɾju
fa·bu·lis·ta,nome masculino,fɐ.bu.lˈiʃ.tɐ ou fɐ.bu.lˈiʃ.tɐ
fa·bu·lo·sa·men·te,advérbio,fa.bu.lɔ.zɐ.mˈẽ.tɨ
fa·bu·lo·so,adjetivo,fɐ.bu.lˈo.zu
fac-si·mi·la·do,adjetivo,fɐk.si.mi.lˈa.du
fac-si·mi·lar,verbo,fɐk.si.mi.lˈaɾ
fac-sí·mi·le,nome masculino,fɐk.sˈi.mi.lɨ
fa·ca,nome feminino,fˈa.kɐ
fa·ca·da,nome feminino,fɐ.kˈa.dɐ
fa·cai·a,nome feminino,fɐ.kˈaj.ɐ
fa·ca·lhão,nome masculino,fɐ.kɐ.ʎˈɐ̃w
fa·ça·nha,nome feminino,fɐ.sˈɐ.ɲɐ
fa·ça·nhu·da,nome feminino,fɐ.sa.ɲˈu.dɐ
fa·ça·nhu·do,adjetivo,fɐ.sa.ɲˈu.du
fa·ro·es·te,nome masculino,fɐ.ɾwˈɛʃ.tɨ
fa·ro·fa,nome feminino,fɐ.ɾˈɔ.fɐ
fa·ró·fi·a,nome feminino,fɐ.ɾˈɔ.fjɐ
fa·rol,nome masculino,fɐ.ɾˈɔɫ
fa·ro·lar,verbo,fɐ.ɾu.lˈaɾ
fa·ro·lei·ro,nome masculino,fɐ.ɾu.lˈɐj.ɾu
fa·ro·lim,nome masculino,fɐ.ɾu.lˈĩ
far·pa,nome feminino,fˈaɾ.pɐ
far·pa·do,adjetivo,fɐɾ.pˈa.du
far·par,verbo,fɐɾ.pˈaɾ
far·pe·la,nome feminino,fɐɾ.pˈɛ.lɐ
far·ra,nome feminino,fˈa.ʀɐ
far·ra·pão,nome masculino,fɐ.ʀɐ.pˈɐ̃w
far·ra·par,verbo,fɐ.ʀɐ.pˈaɾ
far·ra·pei·ro,nome masculino,fɐ.ʀɐ.pˈɐj.ɾu
far·ra·po,nome masculino,fɐ.ʀˈa.pu
far·rar,verbo,fɐ.ʀˈaɾ
far·ri·co·co,nome masculino,fɐ.ʀi.kˈo.ku
far·ri·pa,nome feminino,fɐ.ʀˈi.pɐ
far·ris·ta,adjetivo,fɐ.ʀˈiʃ.tɐ
fer·ro-ve·lho,nome masculino,fˌɛ.ʀu.vˈɛ.ʎu
fer·ro·a·da,nome feminino,fɨ.ʀwˈa.dɐ
fer·ro·ar,verbo,fɨ.ʀwˈaɾ
fer·ro·lhar,verbo,fɨ.ʀu.ʎˈaɾ
fer·ro·lho,nome masculino,fɨ.ʀˈo.ʎu
fer·ro·so,adjetivo,fɨ.ʀˈo.zu
fer·ro·vi·a,nome feminino,fɛ.ʀɔ.vˈi.ɐ
fer·ro·vi·al,adjetivo,fɨ.ʀu.vjˈaɫ
fer·ro·vi·á·ri·a,nome feminino,fɛ.ʀɔ.vjˈa.ɾjɐ
fer·ro·vi·á·ri·o,nome masculino,fɛ.ʀɔ.vjˈa.ɾju
fer·ro·vi·á·ri·o,adjetivo,fɛ.ʀɔ.vjˈa.ɾju
fer·ru·gem,nome feminino,fɨ.ʀˈu.ʒɐ̃j
fer·ru·gen·ta,nome feminino,fɨ.ʀu.ʒˈẽ.tɐ
fer·ru·gen·to,adjetivo,fɨ.ʀu.ʒˈẽ.tu
fer·ru·gen·to,nome masculino,fɨ.ʀu.ʒˈẽ.tu
fer·ru·gi·no·so,adjetivo,fɨ.ʀu.ʒi.nˈo.zu
fer·ry,nome masculino,
fer·ry·boat,nome masculino,
fér·til,adjetivo,fˈɛɾ.tiɫ
fer·ti·li·da·de,nome feminino,fɨɾ.ti.li.dˈa.dɨ
fei·jo·ca,nome feminino,fɐj.ʒˈɔ.kɐ
fei·jo·ei·ro,nome masculino,fɐj.ʒwˈɐj.ɾu
fei·o,nome masculino,fˈɐj.u
fei·o,adjetivo,fˈɐj.u
fei·o·so,adjetivo,fɐj.ˈo.zu
fei·o·so,nome masculino,fɐj.ˈo.zu
fei·ra,nome feminino,fˈɐj.ɾɐ
fei·ran·te,nome masculino,fɐj.ɾˈɐ̃.tɨ
fei·ran·te,nome feminino,fɐj.ɾˈɐ̃.tɨ
fei·rar,verbo,fɐj.ɾˈaɾ
fei·ren·se,nome masculino,fɐj.ɾˈẽ.sɨ ou fɐj.ɾˈẽ.sɨ
fei·ren·se,adjetivo,fɐj.ɾˈẽ.sɨ
fei·ta,nome feminino,fˈɐj.tɐ
fei·tal,nome masculino,fɐj.tˈaɫ
fei·tei·ra,nome feminino,fɐjtˈɐj.ɾɐ
fei·ti·ar,verbo,fɐj.tjˈaɾ
fei·ti·ça·ri·a,nome feminino,fɐj.ti.sɐ.ɾˈi.ɐ
fei·ti·cei·ra,nome feminino,fɐj.ti.sˈɐj.ɾɐ
fei·ti·cei·ro,adjetivo,fɐj.ti.sˈɐj.ɾu
fei·ti·cei·ro,nome masculino,fɐj.ti.sˈɐj.ɾu
fa·ce·to,adjetivo,fɐ.sˈe.tu
fa·cha,nome feminino,fˈa.ʃɐ
fa·cha·da,nome feminino,fɐ.ʃˈa.dɐ
fa·cho,nome masculino,fˈa.ʃu
fa·ci·al,adjetivo,fɐ.sjˈaɫ
fá·ci·es,nome masculino,fˈa.sjɛʃ ou fˈa.sjɛʃ
fá·cil,adjetivo,fˈa.siɫ
fa·ci·li·da·de,nome feminino,fɐ.si.li.dˈa.dɨ
fa·cí·li·mo,adjetivo,fɐ.sˈi.li.mu
fa·ci·li·ta·ção,nome feminino,fɐ.si.li.tɐ.sˈɐ̃w
fa·ci·li·ta·dor,adjetivo,fɐ.si.li.tɐ.dˈoɾ
fa·ci·li·ta·dor,nome masculino,fɐ.si.li.tɐ.dˈoɾ
fa·ci·li·ta·do·ra,nome feminino,fɐ.si.li.tɐ.dˈo.ɾɐ
fa·ci·li·tar,verbo,fɐ.si.li.tˈaɾ
fa·ci·li·tis·mo,nome masculino,fɐ.si.li.tˈiʒ.mu
fa·cil·men·te,advérbio,fɐ.siɫ.mˈẽ.tɨ
fa·cí·no·ra,nome masculino,fɐ.sˈi.nu.ɾɐ
fa·cí·no·ra,adjetivo,fɐ.sˈi.nu.ɾɐ
fa·cí·no·ra,nome feminino,fɐ.sˈi.nu.ɾɐ
fác·ti·co,adjetivo,fˈak.ti.ku
fe·de·ra·li·zar,verbo,fɨ.dɨ.ɾɐ.li.zˈaɾ
fe·de·ral·men·te,advérbio,fɨ.dɨ.ɾaɫ.mˈẽ.tɨ
fe·de·rar,verbo,fɨ.dɨ.ɾˈaɾ
fe·de·ra·ti·va·men·te,advérbio,fɨ.dɨ.ɾɐ.ti.vɐ.mˈẽ.tɨ
fe·de·ra·ti·vo,adjetivo,fɨ.dɨ.ɾɐ.tˈi.vu
fe·dor,nome masculino,fɨ.dˈoɾ
fe·do·ren·ta,nome feminino,fɨ.du.ɾˈẽ.tɐ
fe·do·ren·ta·men·te,advérbio,fɨ.du.ɾẽ.tɐ.mˈẽ.tɨ
fe·do·ren·to,adjetivo,fɨ.du.ɾˈẽ.tu
feed·back,nome masculino,
fee·ling,nome masculino,
fe·e·ri·a,nome feminino,fje.ɾˈi.ɐ
fe·é·ri·co,adjetivo,fɨ.ˈɛ.ɾi.ku
fée·rie,nome feminino,
fei·a,nome feminino,fˈɐj.ɐ
fei·a·men·te,advérbio,fɐj.a.mˈẽ.tɨ
fei·ção,nome feminino,fɐj.sˈɐ̃w
fei·jão,nome masculino,fɐj.ʒˈɐ̃w
fei·jão-ver·de,nome masculino,fɐj.ʒˌɐ̃w.vˈeɾ.dɨ
fei·jo·a·da,nome feminino,fɐj.ʒwˈa.dɐ
fa·tu·rar,verbo,fɐ.tu.ɾˈaɾ
fau·ce,nome feminino,fˈaw.sɨ
fa·ú·lha,nome feminino,fɐ.ˈu.ʎɐ
fa·u·lhar,verbo,fɐ.u.ʎˈaɾ
fau·na,nome feminino,fˈaw.nɐ
fau·nís·ti·co,adjetivo,faw.nˈiʃ.ti.ku
fau·no,nome masculino,fˈaw.nu
fáus·ti·co,adjetivo,fˈawʃ.ti.ku
faus·to,nome masculino,fˈawʃ.tu
faus·to,adjetivo,fˈawʃ.tu
faus·to·sa·men·te,advérbio,fawʃ.tɔ.zɐ.mˈẽ.tɨ
faus·to·so,adjetivo,fawʃ.tˈo.zu
fau·tor,adjetivo,faw.tˈoɾ
fau·tor,nome masculino,faw.tˈoɾ
fau·vis·mo,nome masculino,faw.vˈiʒ.mu
fa·va,nome feminino,fˈa.vɐ
fa·va-ri·ca,nome feminino,fˌa.vɐ.ʀˈi.kɐ
fa·val,nome masculino,fɐ.vˈaɫ
fa·ve·la,nome feminino,fɐ.vˈɛ.lɐ
fa·ve·la·da,nome feminino,fɐ.vɨ.lˈa.dɐ
fel·trar,verbo,fɨɫ.tɾˈaɾ
fel·tro,nome masculino,fˈeɫ.tɾu
fe·lu·pe,adjetivo,fɨ.lˈu.pɨ
fe·lu·pe,nome masculino,fɨ.lˈu.pɨ ou fɨ.lˈu.pɨ
fê·me·a,nome feminino,fˈe.mjɐ
fê·me·o,adjetivo,fˈe.mju
fe·mi·ni·da·de,nome feminino,fɨ.mi.ni.dˈa.dɨ
fe·mi·nil,adjetivo,fɨ.mi.nˈiɫ
fe·mi·ni·li·da·de,nome feminino,fɨ.mi.ni.li.dˈa.dɨ
fe·mi·nil·men·te,advérbio,fɨ.mi.niɫ.mˈẽ.tɨ
fe·mi·ni·no,nome masculino,fɨ.mi.nˈi.nu
fe·mi·ni·no,adjetivo,fɨ.mi.nˈi.nu
fe·mi·nis·mo,nome masculino,fɨ.mi.nˈiʒ.mu
fe·mi·nis·ta,adjetivo,fɨ.mi.nˈiʃ.tɐ
fe·mi·nis·ta,nome masculino,fɨ.mi.nˈiʃ.tɐ
fe·mi·nis·ta,nome feminino,fɨ.mi.nˈiʃ.tɐ
fe·mi·ni·za·ção,nome feminino,fɨ.mi.ni.zɐ.sˈɐ̃w
fe·mi·ni·zar,verbo,fɨ.mi.ni.zˈaɾ
fé·mur,nome masculino,fˈɛ.muɾ
fen·da,nome feminino,fˈẽ.dɐ
fa·ça·nhu·do,nome masculino,fɐ.sa.ɲˈu.du
fa·ção,nome feminino,fɐ.sˈɐ̃w
fa·cão,nome masculino,fɐ.kˈɐ̃w
fac·ção,nome feminino,fɐk.sˈɐ̃w
fac·ci·o·sa,nome feminino,fɐk.sjˈɔ.zɐ
fac·ci·o·sa·men·te,advérbio,fɐk.sjɔ.zɐ.mˈẽ.tɨ
fac·ci·o·sis·mo,nome masculino,fɐk.sju.zˈiʒ.mu
fac·ci·o·so,adjetivo,fɐk.sjˈo.zu
fac·ci·o·so,nome masculino,fɐk.sjˈo.zu
fa·ce,nome feminino,fˈa.sɨ
fa·cé·ci·a,nome feminino,fɐ.sˈɛ.sjɐ
fa·cei·ra,nome masculino,fɐ.sˈɐj.ɾɐ ou fɐ.sˈɐj.ɾɐ
fa·cei·ra·men·te,advérbio,fa.sɐj.ɾɐ.mˈẽ.tɨ
fa·cei·rar,verbo,fɐ.sɐj.ɾˈaɾ
fa·cei·ro,adjetivo,fɐ.sˈɐj.ɾu
fa·ce·ta,nome feminino,fɐ.sˈe.tɐ
fa·ce·ta·do,adjetivo,fɐ.sɨ.tˈa.du
fa·ce·ta·men·te,advérbio,fa.sɨ.tɐ.mˈẽ.tɨ
fa·ce·ta·men·to,nome masculino,fɐ.sɨ.tɐ.mˈẽ.tu
fa·ce·tar,verbo,fɐ.sɨ.tˈaɾ
fi·el,nome feminino,fjˈɛɫ
fi·el·men·te,advérbio,fjɛɫ.mˈẽ.tɨ
fi·fi,nome feminino,fi.fˈi
fí·fi·a,nome feminino,fˈi.fjɐ
fi·ga,nome feminino,fˈi.gɐ
fi·ga·dal,adjetivo,fi.gɐ.dˈaɫ
fi·ga·dal·men·te,advérbio,fi.gɐ.daɫ.mˈẽ.tɨ
fí·ga·do,nome masculino,fˈi.gɐ.du
fí·ga·ro,nome masculino,fˈi.gɐ.ɾu
fi·go,nome masculino,fˈi.gu
fi·guei·ra,nome feminino,fi.gˈɐj.ɾɐ
fi·guei·ral,nome masculino,fi.gɐj.ɾˈaɫ
fi·guei·re·do,nome masculino,fi.gɐj.ɾˈe.du
fi·guei·ren·se,adjetivo,fi.gɐj.ɾˈẽ.sɨ
fi·guei·ren·se,nome masculino,fi.gɐj.ɾˈẽ.sɨ
fi·guei·ren·se,nome feminino,fi.gɐj.ɾˈẽ.sɨ
fi·guei·ro·a,nome feminino,fi.gɐj.ɾˈo.ɐ
fi·guei·ro·en·se,nome masculino,fi.gɐj.ɾwˈẽ.sɨ ou fi.gɐj.ɾwˈẽ.sɨ
fi·guei·ro·en·se,adjetivo,fi.gɐj.ɾwˈẽ.sɨ
fi·gu·ra,nome feminino,fi.gˈu.ɾɐ
feu·da·li·da·de,nome feminino,few.dɐ.li.dˈa.dɨ
feu·da·lis·mo,nome masculino,few.dɐ.lˈiʒ.mu
feu·da·lis·ta,nome masculino,few.dɐ.lˈiʃ.tɐ ou few.dɐ.lˈiʃ.tɐ
feu·da·lis·ta,adjetivo,few.dɐ.lˈiʃ.tɐ
feu·da·li·za·ção,nome feminino,few.dɐ.li.zɐ.sˈɐ̃w
feu·da·li·zar,verbo,few.dɐ.li.zˈaɾ
feu·dal·men·te,advérbio,few.daɫ.mˈẽ.tɨ
feu·do,nome masculino,fˈew.du
fê·ve·ra,nome feminino,fˈe.vɨ.ɾɐ
fe·ve·rei·ro,nome masculino,fɨ.vɨ.ɾˈɐj.ɾu
fez,nome masculino,fˈeʃ
fe·za·da,nome feminino,fɨ.zˈa.dɐ
fe·zes,nome feminino,fˈɛ.zɨʃ
fi,nome masculino,fi
fi·a·bi·li·da·de,nome feminino,fjɐ.bi.li.dˈa.dɨ
fi·a·ção,nome feminino,fjɐ.sˈɐ̃w
fi·a·cre,nome masculino,fjˈa.kɾɨ
fi·a·da,nome feminino,fjˈa.dɐ
fi·a·dei·ro,adjetivo,fjɐ.dˈɐj.ɾu
fi·a·dei·ro,nome masculino,fjɐ.dˈɐj.ɾu
fer·ral,nome masculino,fɨ.ʀˈaɫ
fer·ra·men·ta,nome feminino,fɨ.ʀɐ.mˈẽ.tɐ
fer·rão,nome masculino,fɨ.ʀˈɐ̃w
fer·rar,verbo,fɨ.ʀˈaɾ
fer·ra·ri·a,nome feminino,fɨ.ʀɐ.ɾˈi.ɐ
fer·rei·ra,nome feminino,fɨ.ʀˈɐj.ɾɐ
fer·rei·ren·se,adjetivo,fɨ.ʀɐj.ɾˈẽ.sɨ
fer·rei·ren·se,nome masculino,fɨ.ʀɐj.ɾˈẽ.sɨ ou fɨ.ʀɐj.ɾˈẽ.sɨ
fer·rei·ri·nha,nome feminino,fɨ.ʀɐj.ɾˈi.ɲɐ
fer·rei·ri·nho,nome masculino,fɨ.ʀɐj.ɾˈi.ɲu
fer·rei·ro,adjetivo,fɨ.ʀˈɐj.ɾu
fer·rei·ro,nome masculino,fɨ.ʀˈɐj.ɾu
fer·re·nho,adjetivo,fɨ.ʀˈɐ.ɲu
fér·re·o,adjetivo,fˈɛ.ʀju
fer·re·tar,verbo,fɨ.ʀɨ.tˈaɾ
fer·re·te,adjetivo,fɨ.ʀˈe.tɨ
fer·re·te,nome masculino,fɨ.ʀˈe.tɨ
fer·ri·nho,nome masculino,fɨ.ʀˈi.ɲu
fer·ri·te,nome feminino,fɨ.ʀˈi.tɨ
fer·ro,nome masculino,fˈɛ.ʀu
fer·vor,nome masculino,fɨɾ.vˈoɾ
fer·vo·rar,verbo,fɨɾ.vu.ɾˈaɾ
fer·vo·ro·sa·men·te,advérbio,fɨɾ.vu.ɾɔ.zɐ.mˈẽ.tɨ
fer·vo·ro·so,adjetivo,fɨɾ.vu.ɾˈo.zu
fer·vu·ra,nome feminino,fɨɾ.vˈu.ɾɐ
fes·ce·ni·no,adjetivo,fɨʃ.sɨ.nˈi.nu
fes·ta,nome feminino,fˈɛʃ.tɐ
fes·tan·ça,nome feminino,fɨʃ.tˈɐ̃.sɐ
fes·tão,nome masculino,fɨʃ.tˈɐ̃w
fes·tar,verbo,fɨʃ.tˈaɾ
fes·ta·ro·la,nome feminino,fɨʃ.tɐ.ɾˈɔ.lɐ
fes·tei·ro,nome masculino,fɨʃ.tˈɐj.ɾu
fes·tei·ro,adjetivo,fɨʃ.tˈɐj.ɾu
fes·te·ja·da,nome feminino,fɨʃ.tɨ.ʒˈa.dɐ
fes·te·ja·do,adjetivo,fɨʃ.tɨ.ʒˈa.du
fes·te·ja·do,nome masculino,fɨʃ.tɨ.ʒˈa.du
fes·te·jar,verbo,fɨʃ.tɨ.ʒˈaɾ
fes·te·jo,nome masculino,fɨʃ.tˈɐ.ʒu
fes·tim,nome masculino,fɨʃ.tˈĩ
fes·ti·val,nome masculino,fɨʃ.ti.vˈaɫ
fi·a·do,advérbio,fjˈa.du
fi·a·do,adjetivo,fjˈa.du
fi·a·do,nome masculino,fjˈa.du
fi·a·dor,nome masculino,fjɐ.dˈoɾ
fi·a·lho,nome masculino,fjˈɐ.ʎu
fi·am·bre,nome masculino,fjˈɐ̃.bɾɨ
fi·an·ça,nome feminino,fjˈɐ̃.sɐ
fi·an·dei·ra,nome feminino,fjɐ̃.dˈɐj.ɾɐ
fi·a·po,nome masculino,fjˈa.pu
fi·ar,verbo,fjˈaɾ
fi·as·co,nome masculino,fjˈaʃ.ku
fi·á·vel,adjetivo,fjˈa.vɛɫ
fi·bra,nome feminino,fˈi.bɾɐ
fi·bri·la·ção,nome feminino,fi.bɾi.lɐ.sˈɐ̃w
fi·bri·na,nome feminino,fi.bɾˈi.nɐ
fi·bri·no,adjetivo,fi.bɾˈi.nu
fi·bro·blas·to,nome masculino,fi.bɾɔ.blˈaʃ.tu
fi·bro·ci·men·to,nome masculino,fi.bɾɔ.si.mˈẽ.tu
fi·bro·mi·al·gi·a,nome feminino,fi.bɾɔ.mjaɫ.ʒˈi.ɐ
fi·bro·se,nome feminino,fi.bɾˈɔ.zɨ
fi·ji·a·no,nome masculino,fi.ʒjˈɐ.nu
fi·ji·a·no,adjetivo,fi.ʒjˈɐ.nu
fi·la,nome feminino,fˈi.lɐ
fi·la·men·to,nome masculino,fi.lɐ.mˈẽ.tu
fi·la·men·to·so,adjetivo,fi.lɐ.mẽ.tˈo.zu
fi·lan·tro·pi·a,nome feminino,fi.lɐ̃.tɾu.pˈi.ɐ
fi·lan·tro·pi·ca·men·te,advérbio,fi.lɐ̃.tɾɔ.pi.kɐ.mˈẽ.tɨ
fi·lan·tró·pi·co,adjetivo,fi.lɐ̃.tɾˈɔ.pi.ku
fi·lan·tro·po,adjetivo,fi.lɐ̃.tɾˈo.pu
fi·lan·tro·po,nome masculino,fi.lɐ̃.tɾˈo.pu
fi·lão,nome masculino,fi.lˈɐ̃w
fi·lar,verbo,fi.lˈaɾ
fi·lar,adjetivo,fi.lˈaɾ
fi·lá·ri·a,nome feminino,fi.lˈa.ɾjɐ
fi·la·rí·a·se,nome feminino,fi.lɐ.ɾˈi.ɐ.zɨ
fi·la·ri·o·se,nome feminino,fi.lɐ.ɾjˈɔ.zɨ
fi·lar·mo·ni·a,nome feminino,fi.lɐɾ.mu.nˈi.ɐ
fi·lar·mó·ni·ca,nome feminino,fi.lɐɾ.mˈɔ.ni.kɐ
fi·lar·mó·ni·co,adjetivo,fi.lɐɾ.mˈɔ.ni.ku
fi·la·te·li·a,nome feminino,fi.lɐ.tɨ.lˈi.ɐ
fen·der,verbo,fẽ.dˈeɾ
fen·di·da,nome feminino,fẽ.dˈi.dɐ
fen·di·do,adjetivo,fẽ.dˈi.du
fe·ne·cer,verbo,fɨ.nɨ.sˈeɾ
fe·ni·a·no,nome masculino,fɨ.njˈɐ.nu
fe·ni·a·no,adjetivo,fɨ.njˈɐ.nu
fe·ní·ci·a,nome feminino,fɨ.nˈi.sjɐ
fe·ní·ci·o,adjetivo,fɨ.nˈi.sju
fe·ní·ci·o,nome masculino,fɨ.nˈi.sju
fe·ni·la·la·ni·na,nome feminino,fɨ.ni.lɐ.lɐ.nˈi.nɐ
fe·nil·ce·to·nú·ri·a,nome feminino,fɛ.niɫ.sɨ.tu.nˈu.ɾjɐ
fé·nix,nome feminino,fˈɛ.niks
fe·no,nome masculino,fˈe.nu
fe·nol,nome masculino,fɨ.nˈɔɫ
fe·no·me·nal,adjetivo,fɨ.nu.mɨ.nˈaɫ
fe·no·me·nal·men·te,advérbio,fɨ.nu.mɨ.naɫ.mˈẽ.tɨ
fe·nó·me·no,nome masculino,fɨ.nˈɔ.mɨ.nu
fe·nô·me·no,nome masculino,fɨ.nˈo.mɨ.nu
fe·no·me·no·lo·gi·a,nome feminino,fɨ.nu.mɨ.nu.lu.ʒˈi.ɐ
fe·no·me·no·ló·gi·co,adjetivo,fɨ.nu.mɨ.nu.lˈɔ.ʒi.ku
fi·dal·go,adjetivo,fi.dˈaɫ.gu
fi·dal·go,nome masculino,fi.dˈaɫ.gu
fi·dal·go·te,nome masculino,fi.daɫ.gˈɔ.tɨ
fi·dal·gui·a,nome feminino,fi.daɫ.gˈi.ɐ
fi·de·dig·ni·da·de,nome feminino,fi.dɨ.dig.ni.dˈa.dɨ
fi·de·dig·no,adjetivo,fi.dɨ.dˈig.nu
fi·dei·co·mis·so,nome masculino,fi.dɐj.ku.mˈi.su
fi·de·ís·mo,nome masculino,fi.dɐ.ˈiʒ.mu
fi·de·li·da·de,nome feminino,fi.dɨ.li.dˈa.dɨ
fi·de·lís·si·mo,adjetivo,fi.dɨ.lˈi.si.mu
fi·de·li·za·ção,nome feminino,fi.dɨ.li.zɐ.sˈɐ̃w
fi·de·li·zar,verbo,fi.dɨ.li.zˈaɾ
fi·do,adjetivo,fˈi.du
fi·du·ci·á·ri·a,nome feminino,fi.du.sjˈa.ɾjɐ
fi·du·ci·a·ri·a·men·te,advérbio,fi.du.sja.ɾja.mˈẽ.tɨ
fi·du·ci·á·ri·o,nome masculino,fi.du.sjˈa.ɾju
fi·du·ci·á·ri·o,adjetivo,fi.du.sjˈa.ɾju
fi·ei·ra,nome feminino,fjˈɐj.ɾɐ
fi·el,nome masculino,fjˈɛɫ
fi·el,adjetivo,fjˈɛɫ
fes·ti·val,adjetivo,fɨʃ.ti.vˈaɫ
fes·ti·va·lei·ro,adjetivo,fɨʃ.ti.vɐ.lˈɐj.ɾu
fes·ti·va·men·te,advérbio,fɨʃ.ti.vɐ.mˈẽ.tɨ
fes·ti·vi·da·de,nome feminino,fɨʃ.ti.vi.dˈa.dɨ
fes·ti·vo,adjetivo,fɨʃ.tˈi.vu
fes·to,nome masculino,fˈɐʃ.tu
fes·to,adjetivo,fˈɛʃ.tu
fes·tu·ca,nome feminino,fɨʃ.tˈu.kɐ
fe·tal,adjetivo,fɨ.tˈaɫ
fe·tal,nome masculino,fɛ.tˈaɫ
fe·tei·ra,nome feminino,fɛ.tˈɐj.ɾɐ
fe·ti·che,nome masculino,fɛ.tˈi.ʃɨ
fe·ti·chis·mo,nome masculino,fɛ.ti.ʃˈiʒ.mu
fe·ti·chis·ta,nome masculino,fɛ.ti.ʃˈiʃ.tɐ
fe·ti·chis·ta,adjetivo,fɛ.ti.ʃˈiʃ.tɐ
fe·ti·chis·ta,nome feminino,fɛ.ti.ʃˈiʃ.tɐ
fé·ti·do,adjetivo,fˈɛ.ti.du
fé·ti·do,nome masculino,fˈɛ.ti.du
fe·to,nome masculino,fˈɛ.tu
feu·dal,adjetivo,few.dˈaɫ
fan·ca·ri·a,nome feminino,fɐ̃.kɐ.ɾˈi.ɐ
fan·cho·no,nome masculino,fɐ̃.ʃˈo.nu
fan·dan·gar,verbo,fɐ̃.dɐ̃ŋ.gˈaɾ
fan·dan·go,nome masculino,fɐ̃.dˈɐ̃.gu
fan·dan·go,adjetivo,fɐ̃.dˈɐ̃.gu
fa·ne·ca,adjetivo,fɐ.nˈɛ.kɐ
fa·ne·ca,nome feminino,fɐ.nˈɛ.kɐ
fa·ne·co,adjetivo,fɐ.nˈɛ.ku
fan·fa,nome masculino,fˈɐ̃.fɐ
fan·far,verbo,fɐ̃.fˈaɾ
fan·far·ra,nome feminino,fɐ̃.fˈa.ʀɐ
fan·far·rão,adjetivo,fɐ̃.fɐ.ʀˈɐ̃w
fan·far·rão,nome masculino,fɐ̃.fɐ.ʀˈɐ̃w
fan·far·ro·na·da,nome feminino,fɐ̃.fɐ.ʀu.nˈa.dɐ
fan·far·ro·nar,verbo,fɐ̃.fɐ.ʀu.nˈaɾ
fan·far·ro·ni·ce,nome feminino,fɐ̃.fɐ.ʀu.nˈi.sɨ
fan·ga,nome feminino,fˈɐ̃.gɐ
fan·guei·ro,nome masculino,fɐ̃ŋ.gˈɐj.ɾu
fan·guei·ro,adjetivo,fɐ̃ŋ.gˈɐj.ɾu
fa·nha,nome masculino,fˈɐ.ɲɐ ou fˈɐ.ɲɐ
fer·nan·di·no,adjetivo,fɨɾ.nɐ̃.dˈi.nu
fe·ro,adjetivo,fˈɛ.ɾu
fe·ro·ci·da·de,nome feminino,fɨ.ɾu.si.dˈa.dɨ
fe·ro·cís·si·mo,adjetivo,fɨ.ɾu.sˈi.si.mu
fe·ro·mo·na,nome feminino,fɨ.ɾɔ.mˈo.nɐ
fe·roz,adjetivo,fɨ.ɾˈɔʃ
fe·roz·men·te,advérbio,fɨ.ɾɔʒ.mˈẽ.tɨ
fer·ra,nome feminino,fˈɛ.ʀɐ
fer·ra·brás,adjetivo,fɛ.ʀɐ.bɾˈaʃ
fer·ra·brás,nome masculino,fɛ.ʀɐ.bɾˈaʃ
fer·ra·da,nome feminino,fɨ.ʀˈa.dɐ
fer·ra·de·la,nome feminino,fɨ.ʀɐ.dˈɛ.lɐ
fer·ra·do,nome masculino,fɨ.ʀˈa.du
fer·ra·do,adjetivo,fɨ.ʀˈa.du
fer·ra·dor,nome masculino,fɨ.ʀɐ.dˈoɾ
fer·ra·du·ra,nome feminino,fɨ.ʀɐ.dˈu.ɾɐ
fer·ra·gei·ro,nome masculino,fɨ.ʀɐ.ʒˈɐj.ɾu
fer·ra·gem,nome feminino,fɨ.ʀˈa.ʒɐ̃j
fer·ra·gi·al,nome masculino,fɨ.ʀɐ.ʒjˈaɫ
fer·ral,adjetivo,fɨ.ʀˈaɫ
fi·bro·so,adjetivo,fi.bɾˈo.zu
fí·bu·la,nome feminino,fˈi.bu.lɐ
